,Participant,Narrative,Event,Nativeness,Exposure,Right_Hand_Movement_Amplitude,Left_Hand_Movement_Amplitude,Right_S_to_W_Distance,Left_S_to_W_Distance,Left_S_to_W_Distance_Change,Right_S_to_W_Distance_Change,Left_Speed,Right_Speed,Event_Duration
143,25,10,5,Late,4-7,6.245251914953821,6.598735112906545,98.64545491369509,115.09431694217761,1.8408664754415,1.4960261282210412,0.002278883517373444,0.0021568075407355372,7.6
144,26,2,5,Native,0-3,0.8960539401007275,0.9513575400287195,14.069190483772706,19.097342465571142,0.40911953602770385,0.25726050977247183,0.014902217105713024,0.014035932645688086,1.12
145,26,2,6,Native,0-3,5.266825045146826,5.598090692830431,71.55630038689425,81.92474142254763,2.014605064365373,1.7240762086232775,0.004321515124926996,0.004065790524275765,5.08
146,26,2,7,Native,0-3,1.0646875085802008,1.1538166075499008,20.005096708231846,24.76895071703659,0.3437783800011443,0.2426891071531157,0.013447746008740102,0.012408945321447562,1.3
147,26,3,2,Native,0-3,3.186252550619313,3.434673190999007,30.14859884865789,40.07744756298397,1.1630897542777279,0.8250605445880334,0.007582060024280368,0.007033670089667357,3.0
148,26,3,4,Native,0-3,5.430328135434475,5.8275707633483735,68.06032026611247,101.47479394375371,2.7289632452242683,2.109036637555385,0.0037567176989688083,0.003500636997134212,5.56
149,26,6,4,Native,0-3,1.879256823129038,2.015024813186753,14.066187392911948,20.32076359799139,0.7184826037192832,0.4808513234956849,0.02663967230548325,0.02484474911593123,1.22
150,26,6,8,Native,0-3,5.528108027048818,5.964644371636603,59.470137743366095,88.95330023133631,2.4642495406171863,1.7724327891344631,0.004790879013362732,0.004440247411284191,4.98
151,26,9,4,Native,0-3,2.440910559046142,2.654645648750448,25.466216951083943,31.915794556152406,0.8059430884580484,0.5205966860289236,0.013141810142328951,0.012083715638842286,2.0
152,26,10,5,Native,0-3,7.170622043011194,7.721689201980815,76.54438529600246,108.11029487531772,2.9049207396295205,2.230245051176052,0.0034712957876952464,0.0032235628036769676,6.66
153,27,2,5,Native,0-3,1.7405527469916786,1.8433129040405476,30.570683538659154,33.256458878695945,0.6659459521099347,0.4262829881360627,0.007548373890419932,0.00712757062650155,2.2
154,27,2,6,Native,0-3,1.8634839583914165,1.9876356418067245,27.658980272680957,32.163891688719985,0.6587268103413295,0.4940687907232056,0.01003856384750871,0.009411535143390992,1.98
155,27,2,7,Native,0-3,0.616055971408273,0.6533403904768548,12.963921098158034,14.162252347155455,0.19577306865873884,0.16551750190222542,0.01578116885209794,0.014880579019523499,0.9
156,27,3,2,Native,0-3,2.2978259080225842,2.4301351314161317,21.51999943718772,25.55508543894033,0.6685606463912291,0.48370149878126667,0.013606579683181028,0.012865766562276509,1.88
157,27,3,4,Native,0-3,1.4718563170532526,1.5627984705301101,27.436132342997187,35.600491004006436,0.5298083806515913,0.3595906587612009,0.005381537432954924,0.005068375747428556,2.4
158,27,6,4,Native,0-3,2.4676468951457013,2.6507264425414365,47.06655717199374,53.97944798536426,0.6970565692677196,0.5125986313003295,0.004613168190987533,0.004294547328829971,3.3800000000000003
159,27,6,8,Native,0-3,1.939198908455755,2.0514621398517012,27.16632951071495,29.058521210256675,0.4748954245341187,0.3639812759091336,0.012251923912157797,0.011581455497227394,1.82
160,27,9,4,Native,0-3,1.9683419873914467,2.1278641688063717,25.188376853606222,31.444364824109154,0.6611294464897137,0.4565455121446972,0.007207235363793427,0.006666921783604684,2.42
161,27,10,5,Native,0-3,2.843133618301987,2.974103575114923,42.80247370511787,45.260590430788476,0.660400486677715,0.6876613789878326,0.00712189553427903,0.006808270158769126,2.88
162,28,2,5,Late,8-12,8.56650854368613,9.018841716543688,119.78106883520653,111.51761475133478,1.4739084230537365,2.1096512831874126,0.0027697103765520013,0.0026307976511823847,8.06
163,28,3,4,Late,8-12,11.43983042265481,12.293635580694557,114.90066911255032,119.79263197374024,2.8588943959669417,2.9741732299185215,0.004502173727640283,0.004189493306472867,7.38
164,28,6,4,Late,8-12,4.764243567506707,5.066487085639215,29.097469309792356,29.343115344236203,0.9303676851314067,1.0870918901082707,0.02558831861433947,0.024061836199528824,1.98
